DAY,CENTERLAT,CENTERLON,FCOUNT
2011-01-01,40.4,-86.9,2
2011-02-01,40.4,-86.9,1
2011-02-20,40.4,-86.9,1
2011-02-28,40.4,-86.9,7
2011-03-05,40.4,-86.9,5
2011-03-09,40.4,-86.9,1
2011-03-15,40.4,-86.9,4
2011-03-21,40.4,-86.9,2
2011-04-01,40.4,-86.9,1
2011-04-04,40.4,-86.9,9
2011-04-08,40.4,-86.9,1
2011-04-11,40.4,-86.9,1
2011-04-19,40.4,-86.9,2
2011-04-20,40.4,-86.9,1
2011-04-22,40.4,-86.9,3
2011-04-23,40.4,-86.9,3
2011-04-26,40.4,-86.9,3
2011-04-28,40.4,-86.9,2
2011-05-07,40.4,-86.9,1
2011-05-10,40.4,-86.9,6
2011-05-13,40.4,-86.9,3
2011-05-23,40.4,-86.9,4
2011-05-25,40.4,-86.9,27
2011-05-26,40.4,-86.9,19
2011-05-28,40.4,-86.9,6
2011-06-04,40.4,-86.9,16
2011-06-09,40.4,-86.9,22
2011-06-10,40.4,-86.9,5
2011-06-11,40.4,-86.9,7
2011-06-15,40.4,-86.9,19
2011-06-20,40.4,-86.9,64
2011-06-26,40.4,-86.9,3
2011-06-27,40.4,-86.9,1
2011-07-01,40.4,-86.9,7
2011-07-03,40.4,-86.9,3
2011-07-11,40.4,-86.9,4
2011-07-12,40.4,-86.9,6
2011-07-23,40.4,-86.9,3
2011-07-24,40.4,-86.9,13
2011-07-29,40.4,-86.9,4
2011-08-03,40.4,-86.9,5
2011-08-07,40.4,-86.9,31
2011-08-09,40.4,-86.9,24
2011-08-13,40.4,-86.9,12
2011-08-19,40.4,-86.9,2
2011-08-21,40.4,-86.9,12
2011-08-23,40.4,-86.9,7
2011-08-25,40.4,-86.9,53
2011-09-03,40.4,-86.9,9
2011-09-04,40.4,-86.9,9
2011-09-14,40.4,-86.9,1
2011-09-19,40.4,-86.9,2
2011-09-25,40.4,-86.9,4
2011-09-28,40.4,-86.9,1
2011-09-29,40.4,-86.9,1
2011-11-09,40.4,-86.9,2
2011-11-14,40.4,-86.9,19
2011-11-22,40.4,-86.9,2
2011-12-04,40.4,-86.9,3
2011-12-15,40.4,-86.9,1
2011-12-30,40.4,-86.9,1
