DAY,CENTERLAT,CENTERLON,FCOUNT
2015-03-25,40.4,-86.9,2
2015-04-02,40.4,-86.9,7
2015-04-08,40.4,-86.9,5
2015-04-09,40.4,-86.9,4
2015-04-13,40.4,-86.9,1
2015-04-16,40.4,-86.9,1
2015-04-19,40.4,-86.9,2
2015-04-25,40.4,-86.9,1
2015-05-04,40.4,-86.9,3
2015-05-09,40.4,-86.9,6
2015-05-15,40.4,-86.9,24
2015-05-16,40.4,-86.9,4
2015-05-27,40.4,-86.9,22
2015-05-30,40.4,-86.9,21
2015-06-07,40.4,-86.9,1
2015-06-08,40.4,-86.9,9
2015-06-09,40.4,-86.9,10
2015-06-12,40.4,-86.9,20
2015-06-14,40.4,-86.9,9
2015-06-15,40.4,-86.9,19
2015-06-16,40.4,-86.9,1
2015-06-17,40.4,-86.9,4
2015-06-18,40.4,-86.9,9
2015-06-21,40.4,-86.9,1
2015-06-24,40.4,-86.9,2
2015-06-25,40.4,-86.9,1
2015-06-29,40.4,-86.9,2
2015-07-07,40.4,-86.9,1
2015-07-09,40.4,-86.9,2
2015-07-12,40.4,-86.9,1
2015-07-13,40.4,-86.9,10
2015-07-14,40.4,-86.9,21
2015-07-17,40.4,-86.9,70
2015-07-18,40.4,-86.9,17
2015-07-19,40.4,-86.9,24
2015-07-26,40.4,-86.9,5
2015-07-29,40.4,-86.9,3
2015-08-03,40.4,-86.9,8
2015-08-10,40.4,-86.9,13
2015-08-15,40.4,-86.9,3
2015-09-08,40.4,-86.9,9
2015-09-19,40.4,-86.9,28
2015-11-12,40.4,-86.9,3
2015-12-23,40.4,-86.9,4
2015-12-26,40.4,-86.9,1
2015-12-27,40.4,-86.9,4
2015-12-28,40.4,-86.9,2
