DAY,CENTERLAT,CENTERLON,FCOUNT
2012-01-17,40.4,-86.9,8
2012-01-27,40.4,-86.9,1
2012-02-29,40.4,-86.9,2
2012-03-02,40.4,-86.9,13
2012-03-15,40.4,-86.9,10
2012-03-23,40.4,-86.9,1
2012-03-30,40.4,-86.9,12
2012-04-01,40.4,-86.9,1
2012-04-04,40.4,-86.9,3
2012-04-16,40.4,-86.9,1
2012-04-25,40.4,-86.9,10
2012-04-26,40.4,-86.9,10
2012-04-30,40.4,-86.9,5
2012-05-01,40.4,-86.9,4
2012-05-07,40.4,-86.9,27
2012-05-21,40.4,-86.9,5
2012-05-31,40.4,-86.9,2
2012-06-21,40.4,-86.9,4
2012-06-29,40.4,-86.9,12
2012-06-30,40.4,-86.9,30
2012-07-07,40.4,-86.9,1
2012-07-15,40.4,-86.9,5
2012-07-17,40.4,-86.9,6
2012-07-19,40.4,-86.9,42
2012-07-31,40.4,-86.9,20
2012-08-04,40.4,-86.9,7
2012-08-05,40.4,-86.9,12
2012-08-10,40.4,-86.9,1
2012-08-13,40.4,-86.9,1
2012-08-16,40.4,-86.9,4
2012-08-20,40.4,-86.9,25
2012-08-27,40.4,-86.9,25
2012-09-01,40.4,-86.9,6
2012-09-05,40.4,-86.9,2
2012-09-07,40.4,-86.9,9
2012-09-21,40.4,-86.9,5
2012-09-26,40.4,-86.9,6
2012-10-05,40.4,-86.9,4
2012-10-13,40.4,-86.9,1
2012-10-14,40.4,-86.9,3
2012-10-18,40.4,-86.9,1
2012-10-22,40.4,-86.9,14
2012-10-23,40.4,-86.9,9
2012-11-03,40.4,-86.9,4
2012-12-20,40.4,-86.9,2
