DAY,CENTERLAT,CENTERLON,FCOUNT
2013-01-13,40.4,-86.9,1
2013-01-29,40.4,-86.9,17
2013-01-30,40.4,-86.9,1
2013-02-10,40.4,-86.9,1
2013-02-19,40.4,-86.9,1
2013-04-10,40.4,-86.9,31
2013-04-16,40.4,-86.9,7
2013-04-18,40.4,-86.9,41
2013-04-24,40.4,-86.9,1
2013-05-10,40.4,-86.9,1
2013-05-21,40.4,-86.9,4
2013-05-30,40.4,-86.9,2
2013-05-31,40.4,-86.9,8
2013-06-01,40.4,-86.9,18
2013-06-02,40.4,-86.9,1
2013-06-13,40.4,-86.9,15
2013-06-28,40.4,-86.9,2
2013-06-29,40.4,-86.9,1
2013-06-30,40.4,-86.9,2
2013-07-03,40.4,-86.9,3
2013-07-09,40.4,-86.9,1
2013-07-20,40.4,-86.9,1
2013-07-22,40.4,-86.9,19
2013-08-03,40.4,-86.9,2
2013-08-08,40.4,-86.9,2
2013-08-13,40.4,-86.9,8
2013-08-30,40.4,-86.9,4
2013-08-31,40.4,-86.9,11
2013-09-12,40.4,-86.9,16
2013-09-15,40.4,-86.9,1
2013-09-19,40.4,-86.9,22
2013-10-05,40.4,-86.9,22
2013-11-01,40.4,-86.9,3
2013-11-17,40.4,-86.9,10
